,Alpha,Beta,Nu,Rho
A,0.3149013345698036,0.6519840058979247,0.7664848176033924,-0.4273936976760793
AA,0.6177177037230362,0.021392198681371898,0.4742652797019069,0.9998990555485539
AADI,1.0287757425453152,0.3736207027190463,0.7342184475840237,0.9998999961181354
AAIC,0.511081062430783,0.49873690811142024,1.0004579498426935,0.82864556083508
AAL,0.6005948353795372,0.0018051810426693916,0.5373308978554512,0.4033779090445822
AAN,0.6299005064167448,0.011936192138967506,1.173565149484237,0.001032336838841697
AAOI,1.7502790049542571,0.7928515993801393,0.00011122980188319072,0.16254536786146362
AAON,0.4572620506218407,0.016819010283751237,0.374539267085902,0.5410987711721648
AAP,0.3388886096935745,0.04282548554517683,0.5906275816202367,-0.15378662121739137
AAPB,0.5205091150211082,0.09295895722997416,0.2015478749279412,0.9995868664216193
AAPD,0.4813968840789148,0.0005554432608906583,0.5415513867744357,0.8009892709884617
AAPL,0.326899224315043,0.9999423775307948,0.7234055845530698,-0.5803420894801916
AAPU,0.5800673576498613,0.0004997307458431877,0.10284351485872592,0.9788859974428251
AAT,0.387244656717717,0.0005479443325771292,0.7521568724238011,0.5888566407336517
AAWW,0.11154531497515639,0.00010016700135276281,0.12232524449859875,0.8922787332852514
AAXJ,0.2081724480111486,0.03470273111575614,0.6878442071785212,-0.5390111002968067
AB,0.23583631515263268,0.00011844061686774594,0.8461599443483899,-0.3037710988749845
ABB,0.28273478614240655,0.0004995605616728436,1.0480077394782643,-0.398290340949479
ABBV,0.2596618261422521,0.00012459299899848854,0.5945743139278906,-0.22565487718430546
ABC,0.2895390860693949,0.003842847207617155,0.05160264285059467,0.45821545439148825
ABCB,0.46430157312777237,0.0006047876747207665,1.1016717954148447,-0.20025679449105388
ABCL,0.8943702004120934,0.21476451778902406,0.11292501013238969,0.99837063788831
ABEV,0.40748370626996333,0.2368038115955037,4.9643601373396935,-0.8666451841661216
ABG,0.47227044296557164,0.0004587420125280991,0.18436547843691198,0.7680649512751168
ABIO,1.1601601819698861,0.21870428315379023,1.1989291778374576,0.08417481703265041
ABM,0.4267587124298494,0.0007367280402220055,0.44603584682675956,0.5089972650957225
ABMD,0.3929567780201238,0.376380958837108,0.15987610813701386,-0.537379228561866
ABNB,0.5293622506226626,0.017205668530812096,0.5423238470313289,0.3003610864028198
ABOS,1.4174221955367883,0.10332336610565002,0.9601420461901174,0.984877363921759
ABR,0.37878940645035386,0.13177097744851693,2.2395196120700147,-0.8760213617185976
ABSI,2.0632682910852416,0.8097875590195883,0.3508056821172164,-0.9998999998210071
ABST,0.5768955957975055,0.09769194550534246,0.07669814343497357,-0.9947516871623788
ABT,0.25451606775243896,0.0004923771835496126,0.754520887126084,-0.23009280565816195
ABTX,0.57445718663938,0.9245107421083236,6.065517913561772,-0.8986381358087504
ABUS,0.784573908761048,0.00010041024873575066,1.073374330953039,0.843484477889022
ACA,0.41478386801359907,0.6049861881429622,2.1945926571309466,-0.5950000526641813
ACAD,0.6288633849069,0.17321006970869945,0.4375824727444589,0.9998999883103199
ACB,1.2949276562299177,0.9982035921923166,0.2552067796738091,-0.9998999999855862
ACCD,0.8367630674679276,0.2443474157844428,0.8744430248610583,0.7249468206983283
ACCO,0.7060486852483613,0.05991032399365588,0.2360030321226886,-0.9993399888425712
ACEL,0.45938217564060635,0.0004968601611762362,1.774021484551003,-0.2877598873408388
ACER,1.4750095920639703,0.4992304250294166,0.9994650672757259,0.4985703975702063
ACES,0.39344958372706623,0.9999998731283932,1.14412500964613,-0.9987013664450968
ACET,1.0035836076955134,0.27552372700907085,0.0029417464400536687,-0.9987236074198307
ACEV,0.6968597795221059,0.20447763231238342,1.0102377618385794,0.5002888001308063
ACGL,0.2658601416397112,0.0011529055180007567,1.8180322249203487,0.15059167975535614
ACH,0.8324510224782959,0.0007113479924287609,1.5079634239041093,0.2914673904515797
ACHC,0.3670429358402552,0.8713744945765939,0.41826346639567996,0.48769004908573377
ACHR,0.8386877129795886,0.0001000020196293225,1.1466110973048815,0.7811202261765533
ACHV,1.1705266112366317,0.528976277815671,0.9991514335639256,0.4994922545746535
ACI,0.3739092388757657,0.107484800028155,0.3151908116825662,0.5525516803971425
ACIU,0.6691293492438586,0.6250299593109124,1.0005388099559438,0.4404346104511417
ACIW,0.4082300003738291,0.9995469414566005,1.1999053477914252,-0.31573959920703587
ACLS,0.5758047396987823,0.0035401200795293925,0.8615695475461204,0.3732050488790838
ACLX,1.2288878936750791,0.9996436754646764,1.0709468414743926,-0.2638146666781017
ACM,0.2855699454394849,0.2484928518258837,0.017227510216824487,0.7782324787893208
ACMR,0.7179380834789065,0.0006953265718635989,0.7494075925474627,0.8162534871278885
ACN,0.31431324291082463,0.00011676695539692181,0.06338258100185497,-0.9932304280108925
ACNT,0.5174385329809925,0.0004997307838363538,2.9525269152292983,-0.39386490168686905
ACOR,1.3876914863346483,0.500083190840991,1.0001302135780175,0.49913043872339524
ACR,0.6635015589451674,0.00010000130872026622,1.3606011183874556,-0.39659424615491845
ACRE,0.43354739829492256,0.03728090034437448,4.029956085346155,-0.9679616597271377
ACRS,0.8003023294493607,0.07434355276935253,0.5145959824503872,0.2936893538243296
ACT,0.29754818575484937,0.024789160148183734,16.60622239978482,0.839164312512727
ACTG,0.6162152687620304,0.36977701536996394,1.7869980409741257,0.18707844527694142
ACVA,0.7225467888808721,0.09632428876027478,1.5280789825513537,-0.0777703398185561
ACWI,0.2186109586694336,0.8423243297787939,0.7708367704703721,-0.7803264620743936
ACWV,0.1428153381848791,0.9001209566596475,0.734472660040704,-0.507682360653349
ACWX,0.23273126415230558,0.9999999999923583,1.171091860947824,-0.7920837468960231
ACXP,1.4928207565210891,0.6646470531048778,1.000211427788959,0.49972219742447005
ADAP,1.0825237216184689,0.5000783053374895,0.9995237240725257,0.5003802266778891
ADBE,0.4054236569081289,0.025034543378556526,0.4310050911156723,-0.0074108143172373795
ADC,0.2502727618019762,0.9999999998695323,2.3568032304259177,-0.6873012280378799
ADCT,0.9388634937748954,0.40151024209705677,0.755922355105343,0.691534942352851
ADES,0.6856638537484268,0.5003615364078718,1.000068489121823,0.4998268934218884
ADGI,1.7602807932808717,0.0036544544029840573,1.0301726187459948,0.13842611644803587
ADI,0.31750248885430077,0.00010176771920055588,0.3101015687259723,0.11621286856440487
ADM,0.3107013447904059,0.012725301414972516,0.05169951417708141,-0.9998999999530644
ADMA,0.9280673323655005,0.00010027291297225409,0.4576123121890003,-0.7897245438357146
ADMP,3.1583107503788264,0.7716666292189348,1.0490332251951064,-0.9994986160623408
ADN,0.9233150801344264,0.045139306177349764,0.9378190928727191,0.5003546445055768
ADNT,0.5805213480171795,0.00010000005274402981,0.6294662792416363,0.4176350339603174
ADP,0.2715604876922517,0.012851521148232794,0.10517364474615988,-0.9998513772033438
ADPT,0.9374994679318416,0.013638567991211345,1.2742816804659733,0.05252577884571399
ADSK,0.5207157994875214,0.060071226972771265,0.05253437597530772,0.38993051777391663
ADT,0.42952814987846677,0.4476392463747141,0.2987488456090304,-0.05672791743344474
ADTN,0.4532484134074913,0.01150378510003165,0.0221253242985682,-0.9993397431172418
ADUS,0.460627056874717,0.00010000005101844407,0.6659568977561794,0.45706136530450686
ADV,0.7010507219559556,0.9953817734630569,2.300876929978572,0.9576003399008622
ADVM,1.9341238139478667,0.5016026547265701,1.0001472013916328,0.49983134706269194
AEE,0.25933522785613633,0.00010007822992292158,1.1230241072331364,-0.07633196146026626
AEG,0.37593431731113414,0.8526270999177972,0.3775828530022432,0.18819134724986902
AEHR,0.9359084770114766,0.6682640143395883,0.00017893465624902306,0.7870607277049442
AEIS,0.44404000812106037,0.00010000002778208753,0.34904705512596934,0.1645815610151952
AEL,0.47778603486779453,0.1834525490867133,0.37393948584776837,-0.43978505218797986
AEM,0.4170743039214905,0.00011560417609133238,0.9181562521138468,0.25538308569808077
AEMD,2.0525679195059494,0.4990982265561203,0.9998742643099982,0.500070241209645
AEO,0.6817026186406219,0.00010007841096520764,0.7704781602451628,0.5037764960895313
AEP,0.1775588075165615,0.0030823637421916804,0.2821766852810861,0.6299479786501094
AER,0.4727878277349701,0.07414919654712693,0.5073047158413075,0.07741141209925659
AERI,0.44800898025286695,0.45543809237014576,4.30927053282692,0.3173424588012358
AES,0.31251409330204766,0.041373144681718314,0.3575575987883814,0.10294935197961559
AEVA,0.8194006019593835,0.00010000004514899005,0.8977895278812027,0.9371851476335713
AEYE,1.3192857281512542,0.01943520477750713,2.1284057365313735,-0.35231254092174974
AFCG,0.47642623896476544,0.6149050148811513,5.781392732815483,0.8185598956225086
AFG,0.23164622806726626,0.11771259384614687,0.20618791775936063,0.9998958434939141
AFIB,3.1218688622222865,0.0004179917401451633,4.934143904729022,-0.6726588106667838
AFK,0.4328937079636241,0.00010000000494354097,1.2768732187995542,0.9170008276644492
AFL,0.25784428153209865,0.34193551752784723,0.8668357345999517,-0.589832925408696
AFMD,1.7423538602719453,0.0005101216533904136,1.1508110186772202,0.03233904874547376
AFRM,1.5092403914831782,0.9113599497311382,0.6897938225328341,-0.9998999635628839
AFYA,0.7154205506093319,0.04169443140453884,0.0013928634586246602,0.9979259697277608
AG,0.722609939363495,0.6789181096409146,0.373452448156098,0.7049410143837457
AGCB,0.40482825111855375,0.9999993018397042,0.736891957867788,0.580190221708111
AGCO,0.37590575430399586,0.06731751315425644,0.5879815729500482,0.013171646139451487
AGEN,1.1571383203303516,0.7354906354888344,4.263804258438852,-0.7101554236685403
AGFS,2.2242242953962146,0.4994750804938089,0.9997933347435333,0.49916474377283193
AGG,0.09272486526772104,0.00018175943678011146,0.20888806371301188,0.48211411308784374
AGI,0.46897202077167977,0.10243690171973137,0.8590282653444368,0.3593343810462298
AGIO,0.8147989010793367,0.19176438524701817,0.000100160161988435,0.07055037532016875
AGL,0.6579829325231978,0.5231676188917168,0.00011176814260270064,0.9979094893011755
AGM,0.3087240420782114,0.00010169558627829232,1.304832395853177,-0.06620021976458952
AGNC,0.35409959681433906,0.00019565889116340016,1.0979794861295968,-0.658892595410507
AGNG,0.24646450134111395,0.7793895085255166,1.000173133779226,0.5072675697190951
AGO,0.3603372563313349,0.0738306849832402,0.5737392639395554,0.01794723957036428
AGQ,0.5928282940815391,0.4585778914771784,0.9475872333157154,0.5566879078370665
AGR,0.48878018442898,0.9716654015262819,6.799996210058541,-0.8730921809493261
AGRI,1.6621264287457447,0.2520998867801995,1.3184898576266475,0.23529463935541123
AGRO,0.4846220601655595,0.1186300034654412,0.7993061172155284,0.3362993520590017
AGS,0.7383390576331514,0.00010007841096520769,0.013459236175697168,0.5347405704066174
AGX,0.3677967261190694,0.00013412431743529577,0.7975910245821698,0.02540077221799117
AGYS,0.5525641111582281,0.06015739156837482,0.30511590608586325,-0.9983609332686407
AGZ,0.2074977596309162,0.12082573672612724,1.0960770461245433,0.06163230670384328
AHCO,0.719948087628308,0.13078165871642067,0.3418800720343745,-0.9657730256217633
AHH,0.6891768758249256,0.5010277370411014,3.5088470667125833,0.2267527161450099
AHT,0.9744805912003529,0.1253992212529678,0.5360277083992017,0.9998999982825021
AI,0.7550242623119192,0.6331721807545001,0.028463481418689627,-0.9998998063023156
AIA,0.30976336241372104,0.0001001167035042999,0.8880040443161711,0.9993292695913084
AIEQ,0.26241611903275286,0.04132844872536942,0.33009311384805956,0.5444455208657749
AIG,0.3126362089695098,0.9773788561683165,0.7146499851542581,-0.49117537905094916
AIMC,0.5374762946432939,0.0016194560067055194,0.14277969079157482,-0.9926797442195558
AIN,0.344719210181716,0.00010006972883088331,1.4207081326728304,0.15345520591690423
AIP,1.033689021725859,0.00010007479635698084,0.9921657419970942,-0.2089989884200398
AIQ,0.41765688783365534,0.505197563602323,1.7820450115006565,0.2508836804764198
AIR,0.4629896326978458,0.29647776931799635,2.046811035539104,-0.6134979731501353
AIRC,0.4256300068177218,0.00010000000071890911,0.8374266670258976,-0.6816087520484796
AIRG,0.8369061573982414,0.00010007841096520769,1.3376810663565275,0.43765471945633666
AIRR,0.29147923391176644,0.9999999999983827,1.4496542908551349,-0.04265800049239446
AIT,0.36026043971349336,0.0004997307838363506,0.24021676042575413,-0.9998993207179515
AIV,0.4283957011180989,0.0007278065233170526,1.0197375224224334,0.4992166518848497
AIVL,0.18663695672361744,0.9995469414566005,0.5209739759323833,-0.9960837704256815
AIZ,0.23434717921478337,0.07068688627075678,0.6516269619970133,-0.2934105996044689
AJG,0.29087429158496103,0.07296265983665287,0.012446236678026367,-0.9998998558750749
AJRD,0.36789895682446405,0.7855881235804832,6.102499978498836,-0.8955579088320051
AJX,0.684317419882587,0.0016511992222368807,0.5834759115688575,0.27599683647568135
AKA,1.6261090026007265,0.49849741408990084,0.999984733049091,0.4998908887146085
AKAM,0.37703715692355605,0.00010006009617774352,0.13777118939611951,0.3969743808985046
AKBA,1.9236735609343418,0.9996002436429565,1.1238381272601206,-0.9998901351712391
AKLI,2.099880940623088,0.00010836873488215632,1.1674738066198638,0.9995849489546789
AKR,0.7375433065169916,0.00027305296468516094,10.903662257201418,0.8421327385571883
AKRO,1.6685041636239077,0.9999999270276546,0.6978872760742455,-0.843660331036622
AKTS,0.8064252515235125,0.5868414309470881,1.0311801000079681,0.5421769546059464
AKUS,2.08515097056352,0.999999970315494,0.6348725066630884,0.49913044804749845
AKYA,0.8691596688884298,0.7879217833945803,0.754382940962431,0.6137429649271403
AL,0.38598521166343613,0.7043849900500386,0.6264832892730601,0.4382493954697648
ALB,0.5021266926027844,0.9999967253914398,0.34062576653125026,-0.9740974895261771
ALBO,0.972800109695976,0.8044862206964022,2.1007703467652994,-0.761977603897245
ALC,0.2590351638016479,0.00286619275577507,0.3061662541320773,0.7519473689601487
ALDX,0.9070315696654321,0.7762160110207513,1.457156943093367,0.022351548654963443
ALE,0.22498842547171005,0.046300102174365136,0.6987762150537302,0.11602243949073766
ALEC,0.8470561767311436,0.24943287314969234,0.5945041330425763,0.9998896704626349
ALEX,0.4073410889009101,0.6588793634479868,3.3793998649413,0.4880650502730637
ALFA,0.4101256831501194,0.0004818821587173409,1.5354336904033707,0.9994836474042462
ALG,0.36956798298756505,0.004960546891905134,0.6558132542742036,0.452665584614498
ALGM,0.6171042698242601,0.0029173451066313804,0.13437702471754787,0.4643870780641357
ALGN,0.5366345553624237,0.00010000000000486744,0.42196183306294455,0.6952315957086073
ALGS,2.018271370034105,0.49920838259995154,0.998721034468946,0.4992150290707855
ALGT,0.4761930775560597,0.06946207196958082,0.6421890286547928,0.05823790674188054
ALHC,0.6427328031012599,0.9999854218800772,2.320814714805129,-0.5137462832983057
ALIT,0.6703133456425553,0.10315761293078739,1.7079445478418034,-0.5136720535534957
ALK,0.4029677124327967,0.03989718054040966,0.54189891167172,0.05359531630166517
ALKS,0.420418093273862,0.00010041944788321775,1.034550129304736,-0.08471869531970015
ALKT,0.001004651703654158,0.025562627388071305,450.4578941886715,0.8167558593949369
ALL,0.2589968725322277,0.43353634145872305,0.4992611921369952,-0.27621310723301123
ALLE,0.28441176811219543,0.06806589345883954,0.7602265674746068,0.3799846161970421
ALLG,1.5868236734674435,0.00010611512827479145,0.7651345084226236,0.9993335815534146
ALLK,1.6604114677298925,0.5004135205013098,0.8253105133294631,0.5521804715772065
ALLO,0.8750348071293546,0.4725467067442407,0.92951876381502,0.5057156447002366
ALLT,0.8691392749629969,0.0007558372402241065,1.3859687515570835,0.37527963150462174
ALLY,0.3874070807526692,0.16217254035757045,0.809704384881683,-0.24257355839366232
ALNY,0.4957556385961227,0.9999813937025623,0.42479155490445225,-0.9092347702915953
ALPN,1.464049236232097,0.8205788742478201,0.8948473644392513,0.49155814599724107
ALR,0.8594121225659647,0.47298248729525744,7.8856837567411375,-0.8093635790142466
ALRM,0.3518913279367459,0.033463445663189366,1.4880595190592405,-0.5101380363974773
ALRS,0.5000267919638651,0.00010376040878219178,0.9591279509932065,-0.2719152329857479
ALSN,0.41355039041375913,0.0005595931571127301,0.060099546452587554,-0.9989938829132011
ALT,1.1364177456592583,0.45876928223240276,0.02225525459336902,-0.9998999922696922
ALTG,0.4858799979512054,0.9999999810650323,2.6081172983752405,-0.850887200869437
ALTO,0.676217320184064,0.28717345570718217,0.4000780756053277,0.9998999596302734
ALTR,0.5038294296890014,0.22535178963672714,0.950691601362567,-0.38666087118348835
ALTU,0.3013673444552024,0.00013662699320419713,1.7268293387758977,-0.5477997349040272
ALTY,0.4193867805632072,0.9996002692161636,0.8913094080510992,0.8994432790068683
ALV,0.39784794178269367,0.9999999999789901,1.498136632046301,-0.4136139483732585
ALVR,1.260321118390009,0.9446407087053506,0.64318057142847,-0.4026947092661796
ALXO,0.9826463525683072,0.4122434759358088,0.9377230023733614,0.482375168892946
AM,0.4513571881963271,0.7338604955910397,1.983976932149484,-0.8252946111194439
AMAL,0.5546875319009446,0.7284733249017178,0.0007856284891797766,0.3375460326603711
AMAM,0.20647157236643843,0.46347197733247764,1.0008804853834776,0.8236061497488281
AMAT,0.456661195438957,0.0006631853181207147,0.2763760609145362,0.2828047463024415
AMBA,0.7657591268535029,0.16620567088388347,0.22385928322418439,0.9998999992119282
AMBC,0.8573940229064211,0.3835646037008922,0.03811028213290395,-0.9998998963864586
AMBP,0.376630633244578,0.0505745276809088,1.035598164750334,0.25647420789257963
AMC,0.1856985389687127,0.40910780678203545,0.256143267251601,-0.9993438873701483
AMCR,0.31720466843335765,0.7489745724278509,0.33179570024423466,-0.5071163386204335
AMCX,0.5527263744281298,0.00010000000005758152,0.6146430263286001,0.5670824156182592
AMD,0.5204413903988974,0.13176685429633525,0.33425101758851344,0.6358560882113499
AME,0.23259727737294336,0.43095992667480393,0.6650025696808506,-0.5785437868140536
AMED,0.48033889750243847,0.008529983235378364,0.7493608101518909,-0.03494631622248929
